worker_id,task_id,task_response_id,Message Text,Toxic/Not Toxic
Z6J69GNZYEXY,2376f671-e15c-4c92-9a27-0d7a6bd6a907,2bfcf1ac-396c-46a9-89cf-bf6eb9326b24,Visita la mia storia ora.,Not Toxic
Z6J69GNZYEXY,76b3e3cb-5634-47fd-b5dc-e5bb691584e0,b572fe11-108e-4572-ab06-e9792e400adc,"Y la 4ta es la de la final del Open de Australia, 1% para Rafa y el resto es historia...",Not Toxic
FR7WMH3MFPEE,889f98a0-d5dd-4439-a802-bdf1080133df,68b997d4-7c38-4c0a-9eb8-d32848ecccf8,Es un ser superior!,Not Toxic
Z6J69GNZYEXY,2960a381-e965-4026-9458-ba5d8c85964c,383b2b12-cf35-46e5-aa36-6edda069a731,"El Monumento de los Fundadores de Puebla, fue construido con motivo del Cuarto Centenario de la #FundaciónDePuebla; inicialmente fue colocado en la Avenida Juárez, para 1960, fue reubicado en el Paseo de San Francisco.",Not Toxic
Z6J69GNZYEXY,31ff6f0f-bbde-4415-b5c5-35c4ee6547de,6d85c7e7-5510-410b-94b9-ac1f6e0d6a79,"Hagamos consciencia no tires envolturas, bolsas, colillas o envases en la calle. Recuerda que pueden provocar inundaciones",Not Toxic
XHX6XGJVE3AE,5b89fd11-2812-4d0e-a159-297da7ed38bc,340decc9-b049-4e66-b5bf-61ad41bf103b,1 no.... Mas de 1. Le cogí el gusto e hice unos cuantos...🤭,Not Toxic
Z6J69GNZYEXY,54e94227-2207-49bc-9e4a-198785a66a76,c1e833e0-a280-4945-867e-bf7010c606a1,"Mi abuelo hacía lo mismo ☹️ él dejó su libreta con álbumes completos. Ya tenía su música en USB, Spotify y YouTube pero le encantaba escribir cada que podía sus listas. Cuánto lo extraño. Si lees esto y después quieres compartirnos su lista, seríamos ya bastantes seguidores. P. D conserva esas libretas con todo tu amor, te mantendrán cerca de él cuando ya no esté.",Not Toxic
FR7WMH3MFPEE,2e09574a-0b25-4ced-a0a1-e6c4b39040e8,0eff80f9-5398-40be-ad25-af8037085a13,Que cosita más bella! 😍,Not Toxic
Z6J69GNZYEXY,1d26ffb5-57ce-4fc2-9c86-e77dfa72f54d,3d873d18-680d-45b9-a660-9f88062b4472,Ganará el Real Madrid de 1 punto,Not Toxic
Z6J69GNZYEXY,4424701d-35ca-4f64-acd2-017c66b6ce5f,920daa06-0014-403f-b81a-1f816e19d6ab,No puedo con que la gente sea competitiva es que NO PUEDO,Not Toxic
AWEDDH43CFW4,58161b4b-9658-4811-9c95-b26cc29b4cd3,262cb709-0b2a-4dcb-b91a-706074c043d7,"Las indicaciones en los empaques de puré de papa instantáneo deben ser más claras. Tipo ""recuerda que si le echas un poco más de agua a la receta te queda como una sopa, no la cagues, vamos tu puedes"".",Not Toxic
Z6J69GNZYEXY,d84a96cc-747d-4aa0-b718-5be127f0b4b0,e4e2e3df-1053-42af-a7c3-2c561c1507cc,Gracias por todo este mes de episodios sobre creativos 💜 se los comenté ya por twitter pero me han ayudado un montón porque estoy pasando por un momento difícil replanteándome mis aspiraciones y metas como diseñadora y como creativa en general. Los quiero mucho y estoy segura que han inspirado a un montón de gente. Me encantaría que esta sección se convirtiera en algo anual!!! Apenas pueda pago el patreon para verme el episodio de cómo hacen los sketches y apoyarlos en su proyecto. Mucho éxito y sepan que los tengo de referente porque amo lo que hacen 💜 un abrazo.,Not Toxic
Z6J69GNZYEXY,57e6964c-6547-45ff-a74a-e7329f559dcf,e085855b-0f3b-4d10-aa16-350f2e26c853,Gracias florentino 👏usted todo lo que hace por el real Madrid my president .,Not Toxic
FR7WMH3MFPEE,39352b6e-794c-4db7-9fba-88a974a36fe9,70118ba5-08d4-479f-afb0-133ec11b0daa,Y creemos que solo los humanos somos capaces de expresar amor,Not Toxic
Z6J69GNZYEXY,761268d6-8df6-4232-a89f-aa93fcfe852d,a0b5f14d-b917-480e-bed5-7a9d4f9be367,"Hoy estuve todo el día cuidando de mis plantas 🫶🏻 8h aproximadamente regando, trasplantando y revisando que no tuviesen ninguna plaga Soy una señora de 60 años que se llama Aracelis y tiene 80 plantas en su casa",Not Toxic
XHX6XGJVE3AE,294a3d7d-82d3-4e9f-a8f2-22e82a398ace,da4735fb-f40e-46f6-b0c7-eff0f741e1f3,como dijo bad bunny: hay q empezar a preocuparnos menos y a disfrutar mas,Not Toxic
Z6J69GNZYEXY,3c3620e3-39c4-44f1-bbb7-2aa5e3b80b56,43197d60-907a-42f4-809a-92259c1789c2,Van a hechar de menos el olor a títulos .,Not Toxic
Z6J69GNZYEXY,183415df-5514-434b-a44f-c8246ec83a9f,a280ef19-c2b4-4d80-8850-10730f9d1890,Muchísimas gracias 😍,Not Toxic
Z6J69GNZYEXY,7d2a15c5-fd30-4650-86fa-ebc199328a21,fa097d1a-567c-4cb2-ad86-0e5d6bd95677,Un paseo por los sentidos… conseguir algunos ejemplares es trabajo de años…y además gratis.. !Planazo para todas las edades!!,Not Toxic
Z6J69GNZYEXY,9ec150cf-5d7b-4641-b0a8-30d549dc9f06,fcc71a87-b24c-4d1a-9bbb-b0a32e876850,Habrá otras actividades durante el día? O solo se puede ir si tenés entradas? Porque ya se agotaron.,Not Toxic
